"","","weight_mst_double"
"679","1459","152.1"
"1528","2367","165.13"
"1528","1057","91.07"
"2209","479","149.71"
"2209","100","148.58"
"1691","1245","93.57"
"1691","644","93.435"
"678","495","45.78"
"678","2505","110.4"
"678","543","101.495"
"1538","593","141.63"
"448","1554","137.81"
"1518","464","105.715"
"1518","1516","73.895"
"1518","283","98.255"
"950","2605","112.955"
"950","1292","296.095"
"2530","1519","108.625"
"2530","2348","122.42"
"2530","2616","87.34"
"221","328","218.42"
"221","981","220.41"
"221","2176","158.44"
"417","1047","145.11"
"417","628","126.845"
"1100","468","114.835"
"1100","108","73.1"
"235","1907","129.765"
"235","688","123.14"
"1910","2595","116.63"
"1910","1304","179.38"
"702","1950","132.79"
"1284","716","151.62"
"1284","1890","130.525"
"1051","1652","160.305"
"1925","436","147.935"
"1916","134","142.64"
"2601","2321","120.94"
"2613","433","95.28"
"2613","2246","121.745"
"1907","351","102.385"
"1907","1236","115.08"
"2377","308","132.51"
"2620","2349","125.825"
"2620","463","164.715"
"1030","886","125.7"
"1030","194","90.655"
"1030","1057","113.145"
"1030","1049","115.19"
"1952","1235","63.34"
"1952","551","80.655"
"488","416","158.535"
"1071","1525","134.295"
"1071","812","133.85"
"1071","462","132.92"
"2370","739","145.14"
"2643","44","132.195"
"2603","1519","78.17"
"2603","1087","73.89"
"1933","1935","162.205"
"2316","651","109.17"
"2316","1706","114.265"
"2316","1704","80.445"
"2316","2442","106.755"
"2582","2650","129.875"
"2313","867","84.47"
"2313","1276","102.725"
"957","1106","145.66"
"957","1551","88.625"
"1906","1235","99.685"
"1906","1234","79.135"
"1050","1546","97.1"
"2513","2229","206.85"
"2513","1724","86.36"
"1852","2240","211.84"
"1850","125","156.67"
"1850","1849","180.54"
"2515","1406","111.56"
"2515","566","112.505"
"2247","2675","80.105"
"2247","2246","125.625"
"2245","1467","158.315"
"2275","1014","168.855"
"2275","2195","113.375"
"2275","2648","189.385"
"1870","1385","173.255"
"1648","2321","97.135"
"1510","1499","165.205"
"1510","2350","141.245"
"1649","2624","104.18"
"1511","813","110.075"
"1511","598","88.22"
"1932","723","127.93"
"1932","2172","162.345"
"1981","2528","141.05"
"1928","698","118.085"
"1928","547","154.355"
"1928","1926","141.18"
"1951","2320","93.285"
"1951","2625","92.275"
"1014","1623","104.875"
"1014","335","162.7"
"1934","1331","185.375"
"1934","2376","158.565"
"1934","2232","292.715"
"1054","1659","84.76"
"1054","109","111.365"
"1923","1921","134.595"
"1923","1922","136.31"
"2607","2378","195.225"
"2607","2240","204.975"
"1273","858","107.865"
"1273","1775","88.89"
"1273","210","117.43"
"1273","1647","122.56"
"1597","1595","119.995"
"1597","1103","76.1"
"1597","606","151.19"
"1597","469","113.06"
"11","623","151.41"
"11","1633","185.705"
"104","472","100.445"
"104","64","130.525"
"104","1554","128.255"
"104","1563","145.26"
"1869","1361","120.765"
"1869","744","153.77"
"119","2455","169.455"
"119","2511","136.155"
"2488","1388","132.02"
"2488","2653","119.12"
"47","1520","115.27"
"1893","718","114.98"
"1893","1285","118.105"
"1893","1890","115.86"
"125","562","155.845"
"1875","1874","163.02"
"828","636","250.385"
"828","1624","158.965"
"866","1687","132.545"
"739","1911","118.42"
"739","1829","83.995"
"885","1049","106.77"
"885","598","139.07"
"136","1216","170.88"
"136","1218","135.58"
"184","1236","137.185"
"78","302","129.66"
"78","965","139.83"
"65","2395","135.015"
"65","889","182.345"
"886","2213","89.84"
"541","677","142.9"
"79","905","104.04"
"79","20","97.935"
"154","1829","114.785"
"2480","892","183.365"
"434","1257","113.745"
"434","2694","116.925"
"434","643","106.455"
"537","113","111.705"
"468","333","125.23"
"651","208","102.61"
"464","1512","95.2"
"2169","304","137.5"
"2169","904","124.645"
"2169","554","93.225"
"1921","916","133.13"
"1921","696","142.905"
"2218","2348","133.465"
"2218","594","114.58"
"2218","2437","116.075"
"2218","1539","78.065"
"473","218","141.91"
"473","382","134.365"
"652","2673","72.5"
"652","1271","60.49"
"652","1265","78.275"
"652","2497","77.62"
"2534","485","228.88"
"2534","1610","258.935"
"697","1924","140.55"
"697","1220","137.075"
"487","891","188.265"
"487","1636","117.48"
"487","1626","143.695"
"698","820","98.22"
"1519","1520","108.33"
"623","622","132.655"
"623","1575","211.765"
"1449","1730","185.48"
"699","391","117.705"
"699","193","112.055"
"2025","2273","351.915"
"2025","2026","556.245"
"2025","800","255.36"
"2133","1119","154.465"
"2133","2127","225.265"
"2052","2053","156.49"
"2052","246","215.1"
"2448","2512","138.42"
"2588","1203","188.68"
"2495","907","113.99"
"2496","648","122.475"
"2496","1696","117.51"
"615","471","163.38"
"615","1554","171.79"
"615","1552","156.965"
"1439","239","149.03"
"1439","1967","222.455"
"2135","2127","205.52"
"2135","499","159.325"
"858","1773","104"
"858","659","128.1"
"906","165","119.305"
"906","1247","112.575"
"2454","1752","137.5"
"2454","2510","137.54"
"304","303","123.4"
"304","1833","104.015"
"964","21","126.005"
"964","2606","119.795"
"893","191","116.495"
"467","814","86.1"
"2115","2553","156.97"
"2115","2105","183.005"
"2115","241","187.705"
"908","1781","78.26"
"908","2443","51.775"
"908","1299","156.235"
"963","1245","94.165"
"829","1333","76.23"
"829","2656","74.96"
"1446","1447","153.795"
"1446","915","132.475"
"532","299","156.665"
"302","2343","93.085"
"311","210","95.275"
"311","2451","53.965"
"663","1764","127.24"
"663","211","100.575"
"904","237","151.795"
"1338","1306","135.775"
"1333","1948","199.845"
"1333","2222","162.775"
"1387","1876","149.495"
"1335","2363","142.725"
"1335","1334","124.415"
"1321","2492","40.27"
"1321","1320","49.14"
"1339","306","83.095"
"2529","1807","220.085"
"624","1031","138.32"
"624","171","240.345"
"1475","751","122.58"
"1475","1476","145.045"
"1475","371","105.31"
"2597","181","93.49"
"2597","457","84.705"
"1336","1824","152.55"
"296","762","154.16"
"296","2387","182.47"
"2479","2259","225.9"
"2479","786","155.055"
"285","1080","153.71"
"285","808","128.265"
"389","1096","154.855"
"389","333","137.925"
"1255","2678","191.285"
"1255","2161","133.655"
"2489","454","133.855"
"1305","1913","163.175"
"867","80","120.045"
"837","1350","90.28"
"837","2703","47.46"
"194","2212","108.595"
"299","2311","132.84"
"2212","1512","102.805"
"648","1699","127.625"
"1781","2673","79.035"
"1781","1703","52.795"
"1781","82","54.55"
"1773","2499","109.26"
"1081","283","107.97"
"1073","843","141.63"
"1073","2403","134.59"
"217","1554","175.96"
"209","2465","34.995"
"209","1944","26.8"
"1776","1650","102.39"
"239","1431","272.285"
"218","2237","156.425"
"1206","2538","201.08"
"1206","2689","201.4"
"1206","2439","181.545"
"1920","916","138.415"
"1209","1733","198.06"
"1209","1762","143.59"
"1688","905","100.905"
"1688","1244","103.56"
"642","1689","175.435"
"642","1244","86.905"
"642","212","136.67"
